,Ancestry,Number,Margin of Error,Percent,Percent Margin of Error
0,        American        American        American        American        American        American        American        American    American    American    American,230050356,±65490±62729±60777±54727±59333±50437±53443±42199±45958±47204±43520,5.9%6.2%6.4%6.6%6.9%7.2%7.1%7.0%6.7%6.5%6.3%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
1,        Arab        Arab        Arab        Arab        Arab        Arab        Arab        Arab    Arab    Arab    Arab,19911625,±27520±28918±26183±26249±23581±23840±20573±19118±18400±19442±17397,0.6%0.6%0.6%0.6%0.6%0.6%0.6%0.5%0.5%0.5%0.5%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
2,        Czech        Czech        Czech        Czech        Czech        Czech        Czech        Czech    Czech    Czech    Czech,16072268,±11870±9400±9921±9770±8933±10370±11823±11653±10124±11579±11247,0.4%0.4%0.4%0.4%0.5%0.5%0.5%0.5%0.5%0.5%0.5%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
3,        Danish        Danish        Danish        Danish        Danish        Danish        Danish        Danish    Danish    Danish    Danish,14639550,±12074±10337±9713±10692±11493±9289±10809±10385±12510±10652±10251,0.4%0.4%0.4%0.4%0.4%0.4%0.4%0.4%0.5%0.5%0.5%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
4,        Dutch        Dutch        Dutch        Dutch        Dutch        Dutch        Dutch        Dutch    Dutch    Dutch    Dutch,47542876,±18347±18708±19942±18904±18159±17121±18649±17674±18344±18659±20785,1.1%1.2%1.2%1.3%1.3%1.4%1.4%1.5%1.5%1.6%1.6%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
5,        English        English        English        English        English        English        English        English    English    English    English,277213582,±88150±68617±68367±66691±61981±52368±59031±58586±64183±63419±59887,7.7%7.2%7.3%7.5%7.7%7.8%8.0%8.3%8.5%8.8%9.0%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
6,        French (except Basque)        French (except Basque)        French (except Basque)        French (except Basque)        French (except Basque)        French (except Basque)        French (except Basque)        French (except Basque)    French (except Basque)    French (except Basque)    French (except Basque),91694113,±27323±27564±29213±25452±25958±24827±25741±26741±29988±27416±24686,2.3%2.3%2.4%2.5%2.6%2.6%2.7%2.8%2.9%3.0%3.1%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
7,        French Canadian        French Canadian        French Canadian        French Canadian        French Canadian        French Canadian        French Canadian        French Canadian    French Canadian    French Canadian    French Canadian,22815272,±16611±16488±16699±15474±16683±16462±17133±15865±15618±15579±17159,0.6%0.6%0.6%0.7%0.7%0.7%0.7%0.7%0.7%0.7%0.7%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
8,        German        German        German        German        German        German        German        German    German    German    German,509334503,±78666±56361±57549±58492±63843±49941±66695±58331±56777±62120±63818,13.0%13.3%13.7%14.1%14.4%14.7%14.9%15.3%15.7%16.0%16.4%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
9,        Greek        Greek        Greek        Greek        Greek        Greek        Greek        Greek    Greek    Greek    Greek,14179063,±13297±10574±11304±10222±10617±12687±11557±9540±12258±11205±10600,0.4%0.4%0.4%0.4%0.4%0.4%0.4%0.4%0.4%0.4%0.4%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
10,        Hungarian        Hungarian        Hungarian        Hungarian        Hungarian        Hungarian        Hungarian        Hungarian    Hungarian    Hungarian    Hungarian,15829975,±13699±11269±11206±11561±11154±11867±10155±11362±10241±10555±13133,0.4%0.4%0.4%0.4%0.4%0.4%0.5%0.5%0.5%0.5%0.5%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
11,        Irish        Irish        Irish        Irish        Irish        Irish        Irish        Irish    Irish    Irish    Irish,369159491,±63501±60099±64336±58321±63173±61741±70417±62349±60072±62208±62348,9.7%9.7%9.9%10.1%10.4%10.6%10.8%11.1%11.4%11.6%11.8%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
12,        Italian        Italian        Italian        Italian        Italian        Italian        Italian        Italian    Italian    Italian    Italian,189026094,±52085±47251±44111±44521±43172±43497±42108±41933±38407±44864±44085,5.1%5.1%5.2%5.3%5.4%5.5%5.5%5.6%5.7%5.7%5.8%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
13,        Lithuanian        Lithuanian        Lithuanian        Lithuanian        Lithuanian        Lithuanian        Lithuanian        Lithuanian    Lithuanian    Lithuanian    Lithuanian,7250159,±7208±6095±6392±7220±6851±7571±6877±6857±7159±6960±7254,0.2%0.2%0.2%0.2%0.2%0.2%0.2%0.2%0.2%0.2%0.2%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
14,        Norwegian        Norwegian        Norwegian        Norwegian        Norwegian        Norwegian        Norwegian        Norwegian    Norwegian    Norwegian    Norwegian,49009675,±25978±25776±24875±24460±21861±22662±23641±22017±23990±22713±21928,1.3%1.3%1.4%1.4%1.4%1.4%1.4%1.4%1.5%1.5%1.5%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
15,        Polish        Polish        Polish        Polish        Polish        Polish        Polish        Polish    Polish    Polish    Polish,103473803,±39304±33666±34737±34905±31376±34152±35837±33349±34497±33851±34183,2.7%2.8%2.8%2.9%2.9%3.0%3.0%3.1%3.1%3.2%3.2%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
16,        Portuguese        Portuguese        Portuguese        Portuguese        Portuguese        Portuguese        Portuguese        Portuguese    Portuguese    Portuguese    Portuguese,15236735,±13429±12278±10529±11135±12740±11508±13586±10277±10300±11576±11676,0.4%0.4%0.4%0.4%0.4%0.4%0.4%0.5%0.5%0.5%0.5%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
17,        Russian        Russian        Russian        Russian        Russian        Russian        Russian        Russian    Russian    Russian    Russian,31205805,±16882±16279±15109±15230±13370±15468±15298±18634±15994±18805±13828,0.8%0.8%0.8%0.9%0.9%0.9%0.9%1.0%1.0%1.0%1.0%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
18,        Scotch-Irish        Scotch-Irish        Scotch-Irish        Scotch-Irish        Scotch-Irish        Scotch-Irish        Scotch-Irish        Scotch-Irish    Scotch-Irish    Scotch-Irish    Scotch-Irish,38066537,±20595±16746±16851±16314±16473±14519±16451±16959±15546±23499±22938,0.9%0.9%0.9%0.9%1.0%1.0%1.0%1.0%1.1%1.7%1.7%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
19,        Scottish        Scottish        Scottish        Scottish        Scottish        Scottish        Scottish        Scottish    Scottish    Scottish    Scottish,60461203,±24345±25162±24366±22940±21555±19588±19634±22465±20631±23874±21658,1.6%1.7%1.7%1.7%1.7%1.7%1.7%1.8%1.8%1.9%1.9%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
20,        Slovak        Slovak        Slovak        Slovak        Slovak        Slovak        Slovak        Slovak    Slovak    Slovak    Slovak,8014765,±8030±8369±7173±7312±6055±7664±8591±7201±7564±7863±7784,0.2%0.2%0.2%0.2%0.2%0.2%0.2%0.2%0.2%0.3%0.3%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
21,        Subsaharan African        Subsaharan African        Subsaharan African        Subsaharan African        Subsaharan African        Subsaharan African        Subsaharan African        Subsaharan African    Subsaharan African    Subsaharan African    Subsaharan African,35300303,±33815±32757±31185±33608±30196±29990±24900±26672±27517±27774±27251,1.2%1.2%1.1%1.1%1.0%1.0%1.0%0.9%0.9%0.9%0.9%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
22,        Swedish        Swedish        Swedish        Swedish        Swedish        Swedish        Swedish        Swedish    Swedish    Swedish    Swedish,43535932,±22519±17697±16163±17303±14349±18068±19899±17890±20126±20273±18524,1.1%1.1%1.2%1.2%1.2%1.2%1.3%1.3%1.3%1.4%1.4%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
23,        Swiss        Swiss        Swiss        Swiss        Swiss        Swiss        Swiss        Swiss    Swiss    Swiss    Swiss,10399256,±9857±9804±9268±9341±8106±9692±8897±8836±9224±9985±8309,0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
24,        Ukrainian        Ukrainian        Ukrainian        Ukrainian        Ukrainian        Ukrainian        Ukrainian        Ukrainian    Ukrainian    Ukrainian    Ukrainian,10780505,±11096±10817±12167±9800±10491±9154±9939±11355±9336±10471±10165,0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%0.3%,±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1±0.1
